State /  Union Territory (UT),Sum of Population,Sum of Males,Sum of Females population,Sum of female LFPR,Sum of Female Labour Force Population
Andaman and Nicobar Islands,380581,202871,177710,33.6,59710.56
Andhra Pradesh,49580777,24842146,24838631,34.8,8643843.588
Arunachal Pradesh,1383727,713912,669815,47.7,319501.75500000006
Assam,31205576,15939443,15266133,24.7,3770734.851
Bihar,104099452,54278157,49821295,10.2,5081772.09
Chandigarh,1055450,580663,474787,24.7,117272.38900000001
Chhattisgarh,51090396,25665790,25424606,67.2,8542667.616
Dadra and Nagar Haveli and Daman and Diu,586956,344061,242895,32.7,79426.66500000001
Delhi,16787941,8887326,7800615,14.1,1099886.715
Goa,1458545,739140,719405,22.7,163304.935
Gujarat,60439692,31491260,28948432,28.3,8192406.256
Haryana,25351462,13494734,11856728,18.4,2181637.952
Himachal Pradesh,6864602,3481873,3382729,51.5,1742105.435
Jammu and Kashmir,12268564,6483906,5784658,19.5,1128008.31
Jharkhand,32988134,16930315,16057819,18.7,3002812.153
Karnataka,61095297,30966657,30128640,29,8737305.6
Kerala,33406061,16027412,17378649,25.8,4483691.442
Ladakh,272738,156756,115982,37.2,43145.304000000004
Lakshadweep,64473,33123,31350,12.2,3824.7
Madhya Pradesh,72626809,37612306,35014503,18.7,6547712.061000001
Maharashtra,112374333,58243056,54131277,31,16780695.87
Manipur,2721756,1290171,1280219,35.6,455757.964
Meghalaya,2966889,1491832,1475057,40.7,600348.199
Mizoram,1097206,555339,541867,30.4,164727.568
Nagaland,1978502,1024649,953853,38.9,371048.817
Odisha,41974218,21212136,20762082,25.4,5273568.828
Puducherry,1247953,612511,635442,26.1,165850.36200000002
Punjab,27743338,14639465,13103873,22.5,2948371.425
Rajasthan,68548437,35550997,32997440,30.2,9965226.88
Sikkim,610577,323070,287507,55.2,158703.864
Tamil Nadu,72147030,36137975,36009055,30.8,11090788.94
Telangana,35000000,17600000,17300000,34.5,5968500
Tripura,3673917,1874376,1799541,34.5,620841.645
Uttar Pradesh,199812341,104480510,95331831,14.1,13441788.170999998
Uttarakhand,10086292,5137773,4948519,25.4,1256923.826
West Bengal,91276115,46809027,44467088,18.1,8048542.928
