State/UT Name,Sum of Micro,Sum of Small,Sum of Medium,Sum of Total Udyam,Sum of IMEs (UAP),Sum of Total MSMEs,Rural,Urban
ANDAMAN AND NICOBAR ISLANDS,14071,274,14,14359,2910,17269,8807.19,8461.81
ANDHRA PRADESH,1164999,24791,1975,1191765,1478221,2669986,1361692.86,1308293.14
ARUNACHAL PRADESH,16665,394,37,17096,11267,28363,14465.13,13897.87
ASSAM,640884,9858,859,651601,316891,968492,493930.92,474561.08
BIHAR,1284913,19221,1027,1305161,1807980,3113141,1587701.91,1525439.09
CHANDIGARH,45220,1987,208,47415,13103,60518,30864.18,29653.82
CHHATTISGARH,451513,12007,1288,464808,520585,985393,502550.43,482842.57
DELHI,712568,41029,5002,758599,295747,1054346,537716.46,516629.54
GOA,62483,1712,157,64352,36170,100522,51266.22,49255.78
GUJARAT,2103037,83213,8525,2194775,1106694,3301469,1683749.19,1617719.81
HARYANA,975872,34342,3311,1013525,435185,1448710,738842.1,709867.9
HIMACHAL PRADESH,187685,3912,445,192042,54781,246823,125879.73,120943.27
JAMMU AND KASHMIR,465618,5209,353,471180,206320,677500,345525,331975
JHARKHAND,528438,8943,661,538042,629660,1167702,595528.02,572173.98
KARNATAKA,1778398,46413,4382,1829193,1899154,3728347,1901456.97,1826890.03
KERALA,742911,19042,1461,763414,559262,1322676,674564.76,648111.24
LADAKH,11840,143,4,11987,4779,16766,8550.66,8215.34
LAKSHADWEEP,1111,1,0,1112,828,1940,989.4,950.6
MADHYA PRADESH,1531933,29884,2264,1564081,2079069,3643150,1858006.5,1785143.5
MAHARASHTRA,5035284,106646,12314,5154244,2287691,7441935,3795386.85,3646548.15
MANIPUR,83202,674,38,83914,39608,123522,62996.22,60525.78
MEGHALAYA,28564,501,61,29126,8822,37948,19353.48,18594.52
MIZORAM,27832,201,11,28044,12772,40816,20816.16,19999.84
NAGALAND,29966,245,17,30228,21160,51388,26207.88,25180.12
ODISHA,940505,14838,1096,956439,837784,1794223,915053.73,879169.27
PUDUCHERRY,44754,952,127,45833,37663,83496,42582.96,40913.04
PUNJAB,1167345,27184,2460,1196989,414351,1611340,821783.4,789556.6
RAJASTHAN,2210510,42645,3427,2256582,997034,3253616,1659344.16,1594271.84
SIKKIM,12988,193,19,13200,9117,22317,11381.67,10935.33
TAMIL NADU,3030649,59746,5325,3095720,1462977,4558697,2324935.47,2233761.53
TELANGANA,1111517,27899,3128,1142544,1009200,2151744,1097389.44,1054354.56
TRIPURA,72497,990,72,73559,174651,248210,126587.1,121622.9
UTTAR PRADESH,2996089,62300,4825,3063214,3024770,6087984,3104871.84,2983112.16
UTTARAKHAND,304319,6320,541,311180,159895,471075,240248.25,230826.75
WEST BENGAL,1353029,36293,3279,1392601,2696723,4089324,2085555.24,2003768.76
