State /  Union Territory (UT),Sum of Males,Sum of Females,Sum of Population
Andaman and Nicobar Islands,202871,177710,380581
Andhra Pradesh,24842146,24838631,49580777
Arunachal Pradesh,713912,669815,1383727
Assam,15939443,15266133,31205576
Bihar,54278157,49821295,104099452
Chandigarh,580663,474787,1055450
Chhattisgarh,12832895,12712303,25545198
Dadra and Nagar Haveli and Daman and Diu,344061,242895,586956
Delhi,8887326,7800615,16787941
Goa,739140,719405,1458545
Gujarat,31491260,28948432,60439692
Haryana,13494734,11856728,25351462
Himachal Pradesh,3481873,3382729,6864602
Jammu and Kashmir,6483906,5784658,12268564
Jharkhand,16930315,16057819,32988134
Karnataka,30966657,30128640,61095297
Kerala,16027412,17378649,33406061
Ladakh,156756,115982,272738
Lakshadweep,33123,31350,64473
Madhya Pradesh,37612306,35014503,72626809
Maharashtra,58243056,54131277,112374333
Manipur,1290171,1280219,2721756
Meghalaya,1491832,1475057,2966889
Mizoram,555339,541867,1097206
Nagaland,1024649,953853,1978502
Odisha,21212136,20762082,41974218
Puducherry,612511,635442,1247953
Punjab,14639465,13103873,27743338
Rajasthan,35550997,32997440,68548437
Sikkim,323070,287507,610577
Tamil Nadu,36137975,36009055,72147030
Telangana,17600000,17300000,35000000
Tripura,1874376,1799541,3673917
Uttar Pradesh,104480510,95331831,199812341
Uttarakhand,5137773,4948519,10086292
West Bengal,46809027,44467088,91276115
