Manufacturing MSMEs type,Sum of Total Registered Manufacturing MSMEs
Civil Engineering,402021
Construction of building,979952
"Crop and animal production, hunting and related service activities",864261
"Electricity, gas, steam and air conditioning supply",79791
Extraction of crude petroleum and natural gas,12998
Manufacture of basic metals,260246
Manufacture of beverages,107842
Manufacture of chemicals and chemical products,403539
Manufacture of coke and refined petroleum products,34116
"Manufacture of computer, electronic and optical products",163587
Manufacture of electrical equipment,277363
"Manufacture of fabricated metal products, except machinery and equipment",526962
Manufacture of food products,2491182
Manufacture of furniture,517959
Manufacture of leather and related products,255929
Manufacture of machinery and equipment n.e.c.,383491
"Manufacture of motor vehicles, trailers and semi-trailers",105342
Manufacture of other non-metallic mineral products,384488
Manufacture of other transport equipment,78014
Manufacture of paper and paper products,216694
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",118613
Manufacture of rubber and plastics products,300587
Manufacture of textiles,1353920
Manufacture of tobacco products,39365
Manufacture of wearing apparel,1364401
"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",409118
Mining and quarring,49391
Mining of metal ores,47661
Mining support service activities,36770
Other manufacturing,1292726
Other mining and quarring,206091
Printing and reproduction of recorded media,179810
Remediation activities and other waste management services,8892
Repair and installation of machinery and equipment,394087
Sewerage,19421
Specialized construction activities,535682
"Waste collection, treatment and disposal activities; materials recovery",43507
"Water collection, treatment and supply",50815
