State,Sum of Total Registered Manufacturing MSMEs
ANDAMAN AND NICOBAR ISLANDS,2597
ANDHRA PRADESH,281200
ARUNACHAL PRADESH,4182
ASSAM,191143
BIHAR,368625
CHANDIGARH,7651
CHHATTISGARH,127920
DELHI,209722
GOA,18611
GUJARAT,799178
HARYANA,253025
HIMACHAL PRADESH,36834
JAMMU AND KASHMIR,197473
JHARKHAND,136230
KARNATAKA,609807
KERALA,284919
LADAKH,4967
LAKSHADWEEP,239
MADHYA PRADESH,398423
MAHARASHTRA,1175168
MANIPUR,37238
MEGHALAYA,4613
MIZORAM,5399
NAGALAND,10387
ODISHA,253254
PUDUCHERRY,13517
PUNJAB,303611
RAJASTHAN,676849
SIKKIM,2004
TAMIL NADU,925682
TELANGANA,233634
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,5599
TRIPURA,28289
UTTAR PRADESH,815881
UTTARAKHAND,66905
WEST BENGAL,469103
